id,file,action,stamps_before,faces_covered_before,stamps_after,faces,faces_covered_after,logo_width_frac,logo_cx,logo_cy,w,h,kb
291,keif-aldiafa-generic-stock-dates-in-silver-dish.webp,restored,1,0,1,0,0,,,,1000,1000,40
292,keif-aldiafa-generic-stock-fried-cheese-croquettes-with-dipping-sauce.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,1100,1100,141
293,keif-aldiafa-generic-stock-fruit-parfait-trio-glasses.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,500,500,22
294,keif-aldiafa-generic-stock-fruit-topped-puff-pastries-on-stand.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,575,653,40
295,keif-aldiafa-generic-stock-glass-of-red-drink-with-petals-and-straw.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,828,683,45
296,keif-aldiafa-generic-stock-halved-fig-and-whole-fig-on-table.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,970,646,52
297,keif-aldiafa-generic-stock-iced-coffee-glass-on-marble-table.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,500,750,33
298,keif-aldiafa-generic-stock-kunafa-melted-cheese-on-fork.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,735,1099,58
299,keif-aldiafa-generic-stock-loaded-nachos-with-cheese-guacamole-sour-cream.webp,rebuilt-1-center,1,0,1,4,0,0.34,0.64,0.68,1100,1100,144
300,keif-aldiafa-generic-stock-mini-flatbreads-with-various-toppings-on-board.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,720,720,61
301,keif-aldiafa-generic-stock-mini-margherita-pizzas-on-slate.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,1100,1100,128
302,keif-aldiafa-generic-stock-mint-lime-mojito-bottle-poolside.webp,restored,1,0,1,0,0,,,,340,509,23
303,keif-aldiafa-generic-stock-mozzarella-sticks-on-slate-with-marinara.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,1100,1100,108
304,keif-aldiafa-generic-stock-plate-of-spring-rolls-with-chili-sauce.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,1100,1100,98
305,keif-aldiafa-generic-stock-pomegranate-half-on-white.webp,rebuilt-1-center,1,1,1,2,0,0.34,0.5,0.68,969,1024,97
306,keif-aldiafa-generic-stock-potato-wedges-slate-dip.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,1100,1100,109
307,keif-aldiafa-generic-stock-red-iced-drink-with-mint-garnish.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1024,768,54
308,keif-aldiafa-generic-stock-ripe-mango-cubes-on-gray-surface.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,799,47
309,keif-aldiafa-generic-stock-sandwich-cheese-lettuce-tomato-on-white-plate.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,35
310,keif-aldiafa-generic-stock-sandwich-on-white-plate-on-stainless-counter.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,41
311,keif-aldiafa-generic-stock-seeded-bun-sandwich-with-lettuce.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,46
312,keif-aldiafa-generic-stock-sesame-bun-chicken-salad-sandwich-on-white-plate.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,42
313,keif-aldiafa-generic-stock-sesame-coated-balls-with-cream-filling.webp,restored,1,0,1,0,0,,,,988,1000,65
314,keif-aldiafa-generic-strawberries-closeup-stock.webp,rebuilt-1-center,1,0,1,2,0,0.28,0.5,0.58,1200,900,163
